SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PBGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
PEFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,0
PHVI,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,11,8,4,17,7,5,15,7,7,10,14
PIGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,NA
PISI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,168,NA,21,3,31,1,34,3,0,1
PIWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6,1,1,5,2,2,4,2,1,3
PIWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0
PRAW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
PUFI,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,290,79,24,233,8,150,10,100,24,171,1
PUMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
RBGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,60,32,51,77,57,50,49,29,46,57,31
RBGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
RBME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
RBNU,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,10,1,3,6,1,7,1,0,0,19,1
RBWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,2,1,0,1,0
RCKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,354,296,259,111,372,208,206,158,167,225,268
REDH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA
REKN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REVI,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,23,30,32,50,36,15,47,18,39,26,28
RHWO,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,0,0,0,0,NA,0,0,0,NA,0
